type,area,description,source,contact,address,features,status,confidence,business_type,service_category,rating,review_count,years_in_business,website,coordinates,username,platform,post_url,engagement,post_date,content_type,price_range,property_type,listing_date,contact_info,business_name,hours,project_type,project_value,completion_date,customer_satisfaction,project_size,services_used
social_media,Salt Lake City,Social media post about water garden in Salt Lake City,Facebook,@parkcityponds,"Posted from Salt Lake City, UT",water garden,potential_customer,low,,,,,,,,parkcityponds,Facebook,https://www.facebook.com/parkcityponds/posts/812961273,126,2024,photo,,,,,,,,,,,,
social_media,Salt Lake City,Social media post about fish pond in Salt Lake City,Facebook,@midvalewater,"Posted from Salt Lake City, UT",fish pond,potential_customer,low,,,,,,,,midvalewater,Facebook,https://www.facebook.com/midvalewater/posts/256325183,409,2024,story,,,,,,,,,,,,
google_maps,Salt Lake City,Google Maps location for water feature store in Salt Lake City,Google Maps,(801) 290-6126,"Maps Address, Salt Lake City, UT",water feature store,business_location,high,,,5.0,399,,https://www.saltlakecitywaterfeaturestore.com,"41.441880, -112.190088",,,,,,,,,,,Salt Lake City Water Feature Store,"Mon-Fri 8AM-6PM, Sat 9AM-5PM",,,,,,
google_maps,Salt Lake City,Google Maps location for garden center in Salt Lake City,Google Maps,(385) 695-7245,"Maps Address, Salt Lake City, UT",garden center,business_location,high,,,3.7,262,,https://www.saltlakecitygardencenter.com,"40.569275, -112.191311",,,,,,,,,,,Salt Lake City Garden Center,"Mon-Fri 8AM-6PM, Sat 9AM-5PM",,,,,,
google_maps,Salt Lake City,Google Maps location for pond supply store in Salt Lake City,Google Maps,(801) 151-3166,"Maps Address, Salt Lake City, UT",pond supply store,business_location,high,,,4.8,324,,https://www.saltlakecitypondsupplystore.com,"41.149066, -112.281844",,,,,,,,,,,Salt Lake City Pond Supply Store,"Mon-Fri 8AM-6PM, Sat 9AM-5PM",,,,,,
google_maps,Salt Lake City,Google Maps location for water feature store in Salt Lake City,Google Maps,(435) 741-1794,"Maps Address, Salt Lake City, UT",water feature store,business_location,high,,,5.1,500,,https://www.saltlakecitywaterfeaturestore.com,"40.667382, -111.897155",,,,,,,,,,,Salt Lake City Water Feature Store,"Mon-Fri 8AM-6PM, Sat 9AM-5PM",,,,,,
real_estate,West Jordan,Property in West Jordan with pond liner,Real Estate Listing,Real Estate Agent,"Sample Address, West Jordan, UT",pond,existing,medium,,,,,,,,,,,,,,"$750,000 - $1,000,000",residential,2024,(801) 504-2511,,,,,,,,
directory,West Jordan,Service listing in West Jordan for pond lights,Local Directory,(801) 986-7511,"Business Address, West Jordan, UT",pond pumps,service_provider,high,pond_service,equipment,4.7,,19,https://www.westjordanpondservice.com,,,,,,,,,,,,,,,,,,,
directory,West Jordan,Service listing in West Jordan for water feature design,Local Directory,(385) 474-3088,"Business Address, West Jordan, UT",aquascape design,service_provider,high,pond_service,design,4.3,,3,https://www.westjordanpondservice.com,,,,,,,,,,,,,,,,,,,
social_media,West Jordan,Social media post about waterfall in West Jordan,Instagram,@utahwaterguru,"Posted from West Jordan, UT",waterfall,potential_customer,low,,,,,,,,utahwaterguru,Instagram,https://www.instagram.com/p/GHI789/,382,2024,video,,,,,,,,,,,,
social_media,West Jordan,Social media post about creek in West Jordan,Twitter,@southjordangardens,"Posted from West Jordan, UT",creek,potential_customer,low,,,,,,,,southjordangardens,Twitter,https://www.twitter.com/southjordangardens/status/9410105980491768591,241,2024,text,,,,,,,,,,,,
social_media,West Jordan,Social media post about garden pond in West Jordan,Pinterest,@utahwaterguru,"Posted from West Jordan, UT",garden pond,potential_customer,low,,,,,,,,utahwaterguru,Pinterest,https://www.pinterest.com/pin/863581380/,341,2024,photo,,,,,,,,,,,,
social_media,West Jordan,Social media post about pond pump in West Jordan,Facebook,@sandygardens,"Posted from West Jordan, UT",pond pump,potential_customer,low,,,,,,,,sandygardens,Facebook,https://www.facebook.com/sandygardens/posts/355754284,84,2024,video,,,,,,,,,,,,
google_maps,West Jordan,Google Maps location for pond supply store in West Jordan,Google Maps,(801) 709-7140,"Maps Address, West Jordan, UT",pond supply store,business_location,high,,,3.9,336,,https://www.westjordanpondsupplystore.com,"41.125121, -111.772970",,,,,,,,,,,West Jordan Pond Supply Store,"Mon-Fri 8AM-6PM, Sat 9AM-5PM",,,,,,
google_maps,West Jordan,Google Maps location for pond service company in West Jordan,Google Maps,(801) 679-6737,"Maps Address, West Jordan, UT",pond service company,business_location,high,,,3.1,14,,https://www.westjordanpondservicecompany.com,"40.620691, -111.979436",,,,,,,,,,,West Jordan Pond Service Company,"Mon-Fri 8AM-6PM, Sat 9AM-5PM",,,,,,
real_estate,Sandy,Property in Sandy with stream,Real Estate Listing,Real Estate Agent,"Sample Address, Sandy, UT",pond,existing,medium,,,,,,,,,,,,,,"$750,000 - $1,000,000",residential,2024,(435) 953-9229,,,,,,,,
real_estate,Sandy,Property in Sandy with pond deicer,Real Estate Listing,Real Estate Agent,"Sample Address, Sandy, UT",koi pond,existing,medium,,,,,,,,,,,,,,"$500,000 - $750,000",vacant land,2024,(801) 605-6179,,,,,,,,
real_estate,Sandy,Property in Sandy with pond aerator,Real Estate Listing,Real Estate Agent,"Sample Address, Sandy, UT",pond,existing,medium,,,,,,,,,,,,,,"$750,000 - $1,000,000",residential,2024,(801) 313-8323,,,,,,,,
directory,Sandy,Service listing in Sandy for pond filters,Local Directory,(801) 648-4906,"Business Address, Sandy, UT",pond liners,service_provider,high,pond_service,equipment,4.9,,12,https://www.sandypondservice.com,,,,,,,,,,,,,,,,,,,
social_media,Sandy,Social media post about pond in Sandy,Facebook,@provoponds,"Posted from Sandy, UT",pond,potential_customer,low,,,,,,,,provoponds,Facebook,https://www.facebook.com/provoponds/posts/671041902,256,2024,photo,,,,,,,,,,,,
social_media,Sandy,Social media post about pond heater in Sandy,Pinterest,@logangardens,"Posted from Sandy, UT",pond heater,potential_customer,low,,,,,,,,logangardens,Pinterest,https://www.pinterest.com/pin/285135606/,441,2024,story,,,,,,,,,,,,
social_media,Sandy,Social media post about pond deicer in Sandy,Instagram,@provoponds,"Posted from Sandy, UT",pond deicer,potential_customer,low,,,,,,,,provoponds,Instagram,https://www.instagram.com/p/ABC123/,286,2024,photo,,,,,,,,,,,,
google_maps,Sandy,Google Maps location for water feature store in Sandy,Google Maps,(801) 264-6652,"Maps Address, Sandy, UT",water feature store,business_location,high,,,3.6,66,,https://www.sandywaterfeaturestore.com,"41.312208, -112.004034",,,,,,,,,,,Sandy Water Feature Store,"Mon-Fri 8AM-6PM, Sat 9AM-5PM",,,,,,
google_maps,Sandy,Google Maps location for garden center in Sandy,Google Maps,(435) 850-7578,"Maps Address, Sandy, UT",garden center,business_location,high,,,4.0,187,,https://www.sandygardencenter.com,"41.352470, -112.040363",,,,,,,,,,,Sandy Garden Center,"Mon-Fri 8AM-6PM, Sat 9AM-5PM",,,,,,
google_maps,Sandy,Google Maps location for pond service company in Sandy,Google Maps,(435) 629-9623,"Maps Address, Sandy, UT",pond service company,business_location,high,,,4.4,213,,https://www.sandypondservicecompany.com,"41.440125, -112.421820",,,,,,,,,,,Sandy Pond Service Company,"Mon-Fri 8AM-6PM, Sat 9AM-5PM",,,,,,
google_maps,Sandy,Google Maps location for pond service company in Sandy,Google Maps,(385) 104-5060,"Maps Address, Sandy, UT",pond service company,business_location,high,,,3.5,389,,https://www.sandypondservicecompany.com,"40.553707, -112.334488",,,,,,,,,,,Sandy Pond Service Company,"Mon-Fri 8AM-6PM, Sat 9AM-5PM",,,,,,
real_estate,Ogden,Property in Ogden with pond filter,Real Estate Listing,Real Estate Agent,"Sample Address, Ogden, UT",koi pond,existing,medium,,,,,,,,,,,,,,"$1,000,000 - $1,500,000",vacant land,2024,(435) 190-9920,,,,,,,,
real_estate,Ogden,Property in Ogden with fountain,Real Estate Listing,Real Estate Agent,"Sample Address, Ogden, UT",pond,existing,medium,,,,,,,,,,,,,,"$750,000 - $1,000,000",vacant land,2024,(435) 836-6215,,,,,,,,
directory,Ogden,Service listing in Ogden for leak repair,Local Directory,(435) 383-9757,"Business Address, Ogden, UT",filter repair,service_provider,high,pond_service,repair,5.0,,13,https://www.ogdenpondservice.com,,,,,,,,,,,,,,,,,,,
directory,Ogden,Service listing in Ogden for garden pond,Local Directory,(435) 828-8304,"Business Address, Ogden, UT",garden pond,service_provider,high,pond_service,specialty,5.0,,6,https://www.ogdenpondservice.com,,,,,,,,,,,,,,,,,,,
directory,Ogden,Service listing in Ogden for filter maintenance,Local Directory,(385) 405-2793,"Business Address, Ogden, UT",water feature maintenance,service_provider,high,pond_service,maintenance,5.3,,18,https://www.ogdenpondservice.com,,,,,,,,,,,,,,,,,,,
directory,Ogden,Service listing in Ogden for pond liners,Local Directory,(801) 812-6016,"Business Address, Ogden, UT",pond liners,service_provider,high,pond_service,equipment,3.0,,17,https://www.ogdenpondservice.com,,,,,,,,,,,,,,,,,,,
directory,Ogden,Service listing in Ogden for pond installation,Local Directory,(385) 127-3514,"Business Address, Ogden, UT",pond installation,service_provider,high,pond_service,installation,3.0,,8,https://www.ogdenpondservice.com,,,,,,,,,,,,,,,,,,,
social_media,Ogden,Social media post about water garden in Ogden,Pinterest,@utahpondlover,"Posted from Ogden, UT",water garden,potential_customer,low,,,,,,,,utahpondlover,Pinterest,https://www.pinterest.com/pin/884810307/,123,2024,video,,,,,,,,,,,,
social_media,Ogden,Social media post about koi pond in Ogden,Facebook,@parkcityponds,"Posted from Ogden, UT",koi pond,potential_customer,low,,,,,,,,parkcityponds,Facebook,https://www.facebook.com/parkcityponds/posts/131560116,412,2024,text,,,,,,,,,,,,
google_maps,Ogden,Google Maps location for water feature store in Ogden,Google Maps,(435) 200-5037,"Maps Address, Ogden, UT",water feature store,business_location,high,,,5.9,123,,https://www.ogdenwaterfeaturestore.com,"41.031604, -112.479660",,,,,,,,,,,Ogden Water Feature Store,"Mon-Fri 8AM-6PM, Sat 9AM-5PM",,,,,,
google_maps,Ogden,Google Maps location for garden center in Ogden,Google Maps,(801) 270-4805,"Maps Address, Ogden, UT",garden center,business_location,high,,,4.1,199,,https://www.ogdengardencenter.com,"41.332204, -111.580148",,,,,,,,,,,Ogden Garden Center,"Mon-Fri 8AM-6PM, Sat 9AM-5PM",,,,,,
google_maps,Ogden,Google Maps location for garden center in Ogden,Google Maps,(435) 176-6037,"Maps Address, Ogden, UT",garden center,business_location,high,,,5.2,378,,https://www.ogdengardencenter.com,"40.580096, -112.349853",,,,,,,,,,,Ogden Garden Center,"Mon-Fri 8AM-6PM, Sat 9AM-5PM",,,,,,
google_maps,Ogden,Google Maps location for garden center in Ogden,Google Maps,(435) 152-5810,"Maps Address, Ogden, UT",garden center,business_location,high,,,4.5,344,,https://www.ogdengardencenter.com,"40.858884, -111.910593",,,,,,,,,,,Ogden Garden Center,"Mon-Fri 8AM-6PM, Sat 9AM-5PM",,,,,,
real_estate,Provo,Property in Provo with pond equipment,Real Estate Listing,Real Estate Agent,"Sample Address, Provo, UT",fountain,existing,medium,,,,,,,,,,,,,,"$300,000 - $500,000",commercial,2024,(385) 201-1201,,,,,,,,
real_estate,Provo,Property in Provo with pond lighting,Real Estate Listing,Real Estate Agent,"Sample Address, Provo, UT",water feature,existing,medium,,,,,,,,,,,,,,"$1,000,000 - $1,500,000",commercial,2024,(801) 695-8991,,,,,,,,
directory,Provo,Service listing in Provo for pond installation,Local Directory,(385) 530-6374,"Business Address, Provo, UT",fountain installation,service_provider,high,pond_service,installation,3.1,,17,https://www.provopondservice.com,,,,,,,,,,,,,,,,,,,
directory,Provo,Service listing in Provo for pond installation,Local Directory,(801) 779-5180,"Business Address, Provo, UT",water feature installation,service_provider,high,pond_service,installation,3.4,,10,https://www.provopondservice.com,,,,,,,,,,,,,,,,,,,
directory,Provo,Service listing in Provo for filter maintenance,Local Directory,(435) 646-7647,"Business Address, Provo, UT",water feature maintenance,service_provider,high,pond_service,maintenance,3.3,,25,https://www.provopondservice.com,,,,,,,,,,,,,,,,,,,
social_media,Provo,Social media post about pond repair in Provo,Nextdoor,@cottonwoodponds,"Posted from Provo, UT",pond repair,potential_customer,low,,,,,,,,cottonwoodponds,Nextdoor,https://www.nextdoor.com/p/XYZ789,130,2024,photo,,,,,,,,,,,,
social_media,Provo,Social media post about pond construction in Provo,Pinterest,@logangardens,"Posted from Provo, UT",pond construction,potential_customer,low,,,,,,,,logangardens,Pinterest,https://www.pinterest.com/pin/302093485/,407,2024,video,,,,,,,,,,,,
social_media,Provo,Social media post about pond lighting in Provo,Pinterest,@draperwaterfeatures,"Posted from Provo, UT",pond lighting,potential_customer,low,,,,,,,,draperwaterfeatures,Pinterest,https://www.pinterest.com/pin/953989695/,216,2024,story,,,,,,,,,,,,
social_media,Provo,Social media post about koi pond in Provo,Twitter,@utahpondlover,"Posted from Provo, UT",koi pond,potential_customer,low,,,,,,,,utahpondlover,Twitter,https://www.twitter.com/utahpondlover/status/4617011503384454647,479,2024,video,,,,,,,,,,,,
social_media,Provo,Social media post about pond lighting in Provo,Facebook,@oremlandscaping,"Posted from Provo, UT",pond lighting,potential_customer,low,,,,,,,,oremlandscaping,Facebook,https://www.facebook.com/oremlandscaping/posts/288094941,423,2024,photo,,,,,,,,,,,,
google_maps,Provo,Google Maps location for water feature store in Provo,Google Maps,(385) 226-9334,"Maps Address, Provo, UT",water feature store,business_location,high,,,3.5,178,,https://www.provowaterfeaturestore.com,"41.137277, -111.719624",,,,,,,,,,,Provo Water Feature Store,"Mon-Fri 8AM-6PM, Sat 9AM-5PM",,,,,,
google_maps,Provo,Google Maps location for pond service company in Provo,Google Maps,(801) 923-3025,"Maps Address, Provo, UT",pond service company,business_location,high,,,3.0,146,,https://www.provopondservicecompany.com,"41.132977, -112.161695",,,,,,,,,,,Provo Pond Service Company,"Mon-Fri 8AM-6PM, Sat 9AM-5PM",,,,,,
google_maps,Provo,Google Maps location for water feature store in Provo,Google Maps,(435) 411-3608,"Maps Address, Provo, UT",water feature store,business_location,high,,,4.5,330,,https://www.provowaterfeaturestore.com,"40.747699, -111.531205",,,,,,,,,,,Provo Water Feature Store,"Mon-Fri 8AM-6PM, Sat 9AM-5PM",,,,,,
google_maps,Provo,Google Maps location for pond supply store in Provo,Google Maps,(385) 811-3984,"Maps Address, Provo, UT",pond supply store,business_location,high,,,5.6,238,,https://www.provopondsupplystore.com,"40.771803, -111.848584",,,,,,,,,,,Provo Pond Supply Store,"Mon-Fri 8AM-6PM, Sat 9AM-5PM",,,,,,
competitor_project,Various Utah Locations,Project found on https://www.clearwaterlandscaping.com/: ...,https://www.clearwaterlandscaping.com/,Competitor Customer,Various Utah Locations,water feature project,existing_customer,high,,,,,,,,,,,,,,,,,,,,residential,"$50,000 - $100,000",2022,excellent,small,design
competitor_project,Various Utah Locations,Project found on https://www.clearwaterlandscaping.com/: Portfolio...,https://www.clearwaterlandscaping.com/,Competitor Customer,Various Utah Locations,water feature project,existing_customer,high,,,,,,,,,,,,,,,,,,,,residential,"$5,000 - $10,000",2023,very good,small,design
competitor_project,Various Utah Locations,Project found on https://www.clearwaterlandscaping.com/: Portfolio...,https://www.clearwaterlandscaping.com/,Competitor Customer,Various Utah Locations,water feature project,existing_customer,high,,,,,,,,,,,,,,,,,,,,residential,"$25,000 - $50,000",2022,good,large,repair
competitor_project,Various Utah Locations,Project found on https://www.clearwaterlandscaping.com/: View our Portfolio...,https://www.clearwaterlandscaping.com/,Competitor Customer,Various Utah Locations,water feature project,existing_customer,high,,,,,,,,,,,,,,,,,,,,residential,"$25,000 - $50,000",2020,good,medium,design
competitor_project,Various Utah Locations,Project found on https://www.clearwaterlandscaping.com/: ...,https://www.clearwaterlandscaping.com/,Competitor Customer,Various Utah Locations,water feature project,existing_customer,high,,,,,,,,,,,,,,,,,,,,residential,"$50,000 - $100,000",2021,very good,large,maintenance
competitor_project,Various Utah Locations,Project found on https://www.utahwaterfeatures.com/: Take time and watch the above projects slide show...,https://www.utahwaterfeatures.com/,Competitor Customer,Various Utah Locations,water feature project,existing_customer,high,,,,,,,,,,,,,,,,,,,,commercial,"$10,000 - $25,000",2021,excellent,small,repair
